Year;Overall;Team;Player;Nat.;Pos;Age;To;Amateur Team;GP;G;A;PTS;+/-;PIM;GP;W;L;T/O;SV%;GAA
2016;110;Chicago Blackhawks;Lucas Carlsson\carlslu01;SE;D;19;;Brynas (Sweden);;;;;;;;;;;;
2016;111;San Jose Sharks;Noah Gregor\gregono01;CA;C;18;;Moose Jaw (WHL);;;;;;;;;;;;
2016;112;Los Angeles Kings;Jacob Moverare\moverja01;SE;D;18;;HV 71 Jr. (Sweden-Jr.);;;;;;;;;;;;
2016;113;Chicago Blackhawks;Nathan Noel\noelna01;CA;C;19;;Saint John (QMJHL);;;;;;;;;;;;
2016;114;Florida Panthers;Riley Stillman\stillri01;CA;D;18;;Oshawa (OHL);;;;;;;;;;;;
2016;115;Anaheim Ducks;Alex Dostie\dostial01;CA;C;19;;Gatineau (QMJHL);;;;;;;;;;;;
2016;116;Dallas Stars;Rhett Gardner\gardnrh01;CA;C/LW;20;;North Dakota (NCHC);;;;;;;;;;;;
2016;117;Washington Capitals;Damien Riat\riatda01;CH;LW;19;;Geneve (Swiss);;;;;;;;;;;;
2016;118;Tampa Bay Lightning;Ross Colton\coltoro01;US;C;20;;Cedar Rapids (USHL);;;;;;;;;;;;
2016;119;St. Louis Blues;Tanner Kaspick\kaspita01;CA;C;18;;Brandon (WHL);;;;;;;;;;;;
2016;120;New York Islanders;Otto Koivula\koivuot01;FI;LW;18;;Ilves Jr. (Finland-Jr.);;;;;;;;;;;;
2016;121;Pittsburgh Penguins;Ryan Jones\jonesry02;US;D;20;;Lincoln (USHL);;;;;;;;;;;;
2016;122;Toronto Maple Leafs;Vladimir Bobylev\bobylvl01;RU;RW;19;;Victoria (WHL);;;;;;;;;;;;
2016;123;Edmonton Oilers;Dylan Wells\wellsdy01;CA;G;18;;Peterborough (OHL);;;;;;;;;;;;
2016;124;Montreal Canadiens;Casey Staum\staumca01;US;D;18;;Hill-Murray (High-MN);;;;;;;;;;;;
2016;125;St. Louis Blues;Nolan Stevens\steveno01;CA;C;20;;Northeastern (H-East);;;;;;;;;;;;
2016;126;Calgary Flames;Mitchell Mattson\mattsmi01;US;C;18;;Grand Rapids (High-MN);;;;;;;;;;;;
2016;127;Winnipeg Jets;Jordan Stallard\stalljo01;CA;C;18;;Calgary (WHL);;;;;;;;;;;;
2016;128;Dallas Stars;Colton Point\pointco01;CA;G;18;;Carleton Place (CCHL);;;;;;;;;;;;
2016;129;Buffalo Sabres;Philip Nyberg\nyberph01;SE;D;19;;Linkoping Jr. (Sweden-Jr.);;;;;;;;;;;;
2016;130;Buffalo Sabres;Vojtech Budik\budikvo01;CZ;D;18;;Prince Albert (WHL);;;;;;;;;;;;
2016;131;Colorado Avalanche;Adam Werner\wernead01;SE;G;19;;Farjestad Jr. (Sweden-Jr.);;;;;;;;;;;;
2016;132;New Jersey Devils;Yegor Rykov\rykovye01;RU;D;19;;SKA St. Petersburg 2 (Russia-Jr.);;;;;;;;;;;;
2016;133;Ottawa Senators;Maxime Lajoie\lajoima01;CA;D;18;2019;Swift Current (WHL);8;4;3;7;2;4;;;;;;
2016;134;Carolina Hurricanes;Jeremy Helvig\helvije01;CA;G;19;;Kingston (OHL);;;;;;;;;;;;
2016;135;Boston Bruins;Joona Koppanen\koppajo01;FI;LW;18;;Ilves Jr. (Finland-Jr.);;;;;;;;;;;;
2016;136;Boston Bruins;Cameron Clarke\clarkca01;US;D;20;;Lone Star (NAHL);;;;;;;;;;;;
2016;137;Detroit Red Wings;Jordan Sambrook\sambrjo01;CA;D;18;;Erie (OHL);;;;;;;;;;;;
2016;138;Nashville Predators;Patrick Harper\harpepa01;US;C;18;;Avon Old Farms (HIGH-CT);;;;;;;;;;;;
2016;139;Philadelphia Flyers;Linus Hogberg\hogbeli01;SE;D;18;;Vaxjo Jr. (Sweden-Jr.);;;;;;;;;;;;
2016;140;Vancouver Canucks;Cole Candella\candeco01;CA;D;18;;Hamilton (OHL);;;;;;;;;;;;
2016;141;New York Rangers;Timothy Gettinger\gettiti01;US;LW;18;;Sault Ste. Marie (OHL);;;;;;;;;;;;
2016;142;Los Angeles Kings;Michael Eyssimont\eyssimi01;US;C;20;;St. Cloud State (NCHC);;;;;;;;;;;;
2016;143;Chicago Blackhawks;Mathias From\fromma01;DK;W;18;;Rogle Jr. (Sweden-Jr.);;;;;;;;;;;;
2016;144;St. Louis Blues;Conner Bleackley\bleacco02;CA;C;20;;Red Deer (WHL);;;;;;;;;;;;
2016;145;Washington Capitals;Beck Malenstyn\malenbe01;CA;LW;18;;Calgary (WHL);;;;;;;;;;;;
2016;146;Dallas Stars;Nicholas Caamano\caamani01;CA;RW;18;;Flint (OHL);;;;;;;;;;;;
2016;147;Washington Capitals;Axel Jonsson-Fjallby\jonssax01;SE;LW;18;;Djurgarden Jr. (Sweden-Jr.);;;;;;;;;;;;
2016;148;Tampa Bay Lightning;Christopher Paquette\paquech01;CA;C;18;;Niagara (OHL);;;;;;;;;;;;
2016;149;Edmonton Oilers;Graham McPhee\mcphegr01;US;LW;18;;USA U-18 (USHL);;;;;;;;;;;;
2016;150;San Jose Sharks;Manuel Wiederer\wiedema01;DE;C;19;;Moncton (QMJHL);;;;;;;;;;;;
2016;151;Pittsburgh Penguins;Niclas Almari\almarni01;FI;D;18;;Jokerit Jr. (Finland-Jr.);;;;;;;;;;;;
2016;152;Toronto Maple Leafs;Jonathan Walker\walkejo01;US;D;20;;Victoria (WHL);;;;;;;;;;;;
2016;153;Edmonton Oilers;Aapeli Rasanen\rasanaa01;FI;C;18;;Tappara Jr. (Finland-Jr.);;;;;;;;;;;;
2016;154;Vancouver Canucks;Jakob Stukel\stukeja01;CA;LW;19;;Calgary (WHL);;;;;;;;;;;;
2016;155;Columbus Blue Jackets;Peter Thome\thomepe01;US;G;19;;Aberdeen (NAHL);;;;;;;;;;;;
2016;156;Calgary Flames;Eetu Tuulola\tuuloee01;FI;RW;18;;HPK Jr. (Finland-Jr.);;;;;;;;;;;;
2016;157;Winnipeg Jets;Mikhail Berdin\berdimi01;RU;G;18;;Team Russia U18 (Russia-Jr.);;;;;;;;;;;;
2016;158;Arizona Coyotes;Patrick Kudla\kudlapa01;CA;D;20;;Oakville (OJHL);;;;;;;;;;;;
2016;159;Buffalo Sabres;Brandon Hagel\hagelbr01;CA;LW;18;;Red Deer (WHL);;;;;;;;;;;;
2016;160;Montreal Canadiens;Michael Pezzetta\pezzemi01;CA;C;18;;Sudbury (OHL);;;;;;;;;;;;
2016;161;Colorado Avalanche;Nathan Clurman\clurmna01;US;D;18;;Culver Academy (High-IN);;;;;;;;;;;;
2016;162;New Jersey Devils;Jesper Bratt\brattje01;SE;W;18;2018;AIK (Sweden-2);74;13;22;35;-16;18;;;;;;
2016;163;Ottawa Senators;Markus Nurmi\nurmima01;FI;RW;18;;TPS Jr. (Finland-Jr.);;;;;;;;;;;;
2016;164;Carolina Hurricanes;Noah Carroll\carrono01;CA;D;18;;Guelph (OHL);;;;;;;;;;;;
2016;165;Boston Bruins;Oskar Steen\steenos01;SE;C;18;;Farjestad Jr. (Sweden-Jr.);;;;;;;;;;;;
2016;166;Calgary Flames;Matthew Phillips\phillma01;CA;C;18;;Victoria (WHL);;;;;;;;;;;;
2016;167;Detroit Red Wings;Filip Larsson\larssfi01;SE;G;18;;Djurgarden Jr. (Sweden-Jr.);;;;;;;;;;;;
2016;168;Nashville Predators;Konstantin Volkov\volkoko02;RU;G;18;;SKA St. Petersburg 2 (Russia-Jr.);;;;;;;;;;;;
2016;169;Philadelphia Flyers;Tanner Laczynski\laczyta01;US;C;19;;Lincoln (USHL);;;;;;;;;;;;
2016;170;New York Islanders;Collin Adams\adamsco01;US;LW;18;;Muskegon (USHL);;;;;;;;;;;;
2016;171;New York Rangers;Gabriel Fontaine\fontaga01;CA;C;19;;Rouyn-Noranda (QMJHL);;;;;;;;;;;;
2016;172;Philadelphia Flyers;Anthony Salinitri\salinan01;CA;C;18;;Sarnia (OHL);;;;;;;;;;;;
2016;173;Chicago Blackhawks;Blake Hillman\hillmbl01;US;D;20;2018;Denver (NCHC);4;1;0;1;-1;0;;;;;;
2016;174;New York Rangers;Tyler Wall\wallty01;CA;G;18;;Leamington (GOJHL);;;;;;;;;;;;
2016;175;Florida Panthers;Maxim Mamin\maminma01;RU;C/RW;21;2019;CSKA (Russia);30;3;1;4;2;12;;;;;;
2016;176;Dallas Stars;Jakob Stenqvist\stenqja01;SE;D;18;;Modo Jr. (Sweden-Jr.);;;;;;;;;;;;
2016;177;Washington Capitals;Chase Priskie\priskch01;US;D;20;;Quinnipiac (ECAC);;;;;;;;;;;;
2016;178;Tampa Bay Lightning;Oleg Sosunov\sosunol01;RU;D;18;;Loko-Yunior Yaroslav (Russia-Jr.);;;;;;;;;;;;
2016;179;Toronto Maple Leafs;Nicolas Mattinen\mattini01;CA;D;18;;London (OHL);;;;;;;;;;;;
2016;180;San Jose Sharks;Mark Shoemaker\shoemma01;CA;D;18;;North Bay (OHL);;;;;;;;;;;;
2016;181;Pittsburgh Penguins;Joseph Masonius\masonjo01;US;D;19;;Connecticut (H-East);;;;;;;;;;;;
2016;182;Toronto Maple Leafs;Nikolai Chebykin\chebyni01;RU;LW;19;;MVD Balashikha 2 (Russia);;;;;;;;;;;;
2016;183;Edmonton Oilers;Vincent Desharnais\deshavi01;CA;D;20;;Providence (H-East);;;;;;;;;;;;
2016;184;Vancouver Canucks;Rodrigo Abols\abolsro01;LV;C;20;;Portland (WHL);;;;;;;;;;;;
2016;185;Columbus Blue Jackets;Calvin Thurkauf\thurkca01;CH;C;19;;Kelowna (WHL);;;;;;;;;;;;
2016;186;Calgary Flames;Stepan Falkovsky\falkost01;BY;D;19;;Ottawa (OHL);;;;;;;;;;;;
2016;187;Montreal Canadiens;Arvid Henrikson\henriar01;SE;D;18;;AIK U18 (Sweden-Jr.);;;;;;;;;;;;
2016;188;Arizona Coyotes;Dean Stewart\stewade01;CA;D;18;;Portage (MJHL);;;;;;;;;;;;
2016;189;Buffalo Sabres;Austin Osmanski\osmanau01;US;D;18;;Mississauga (OHL);;;;;;;;;;;;
2016;190;Buffalo Sabres;Vasily Glotov\glotova01;RU;C;19;;Lvy St. Petersburg 2 (Russia-Jr.);;;;;;;;;;;;
2016;191;Colorado Avalanche;Travis Barron\barrotr01;CA;LW;18;;Ottawa (OHL);;;;;;;;;;;;
2016;192;New Jersey Devils;Jeremy Davies\davieje01;CA;D;19;;Bloomington (USHL);;;;;;;;;;;;
2016;193;New York Islanders;Nick Pastujov\pastuni01;US;LW;18;;USA U-18 (USHL);;;;;;;;;;;;
2016;194;Vancouver Canucks;Brett McKenzie\mckenbr02;CA;C;19;;North Bay (OHL);;;;;;;;;;;;
2016;195;Florida Panthers;Benjamin Finkelstein\finkebe01;US;D;18;;Kimball Union (NEPSAC);;;;;;;;;;;;
2016;196;Minnesota Wild;Dmitry Sokolov\sokoldm01;RU;RW;18;;Sudbury (OHL);;;;;;;;;;;;
2016;197;Detroit Red Wings;Mattias Elfstrom\elfstma01;SE;LW;19;;Malmo Jr. (Sweden);;;;;;;;;;;;
2016;198;Nashville Predators;Adam Smith\smithad01;CA;D;19;;Bowling Green (WCHA);;;;;;;;;;;;
2016;199;Philadelphia Flyers;David Bernhardt\bernhda02;SE;D;18;;Djurgarden Jr. (Sweden-Jr.);;;;;;;;;;;;
2016;200;New York Islanders;David Quenneville\quennda01;CA;D;18;;Medicine Hat (WHL);;;;;;;;;;;;
2016;201;New York Rangers;Ty Ronning\ronnity01;CA;RW;18;;Vancouver (WHL);;;;;;;;;;;;
2016;202;Los Angeles Kings;Jacob Friend\frienja01;CA;D;19;;Owen Sound (OHL);;;;;;;;;;;;
2016;203;Chicago Blackhawks;Jake Ryczek\ryczeja01;US;D;18;;Waterloo (USHL);;;;;;;;;;;;
2016;204;Minnesota Wild;Brayden Chizen\chizebr01;CA;D;18;;Kelowna (WHL);;;;;;;;;;;;
2016;205;Anaheim Ducks;Tyler Soy\soyty01;CA;C;19;;Victoria (WHL);;;;;;;;;;;;
2016;206;Tampa Bay Lightning;Otto Somppi\somppot01;FI;C;18;;Halifax (QMJHL);;;;;;;;;;;;
2016;207;Washington Capitals;Dmitriy Zaitsev\zaitsdm01;RU;D;18;;WBS Knights (NAHL);;;;;;;;;;;;
2016;208;Tampa Bay Lightning;Ryan Lohin\lohinry01;US;C;20;;Waterloo (USHL);;;;;;;;;;;;
2016;209;St. Louis Blues;Nikolaj Krag Christensen\kragcni01;DK;C/LW;18;;Rodovre (DENMARK);;;;;;;;;;;;
2016;210;San Jose Sharks;Joachim Blichfeld\blichjo01;DK;W;18;;Malmo Jr. (Sweden);;;;;;;;;;;;
2016;211;St. Louis Blues;Filip Helt\heltfi01;CZ;LW;18;;Litvinov Jr. (Czech-Jr.);;;;;;;;;;;;
2015;1;Edmonton Oilers;Connor McDavid\mcdavco01;CA;C;18;2019;Erie (OHL);217;93;177;270;46;70;;;;;;
2015;2;Buffalo Sabres;Jack Eichel\eicheja01;US;C;18;2019;Boston University (H-East);219;76;110;186;-55;78;;;;;;
2015;3;Arizona Coyotes;Dylan Strome\stromdy01;CA;C;18;2019;Erie (OHL);37;6;6;12;-4;12;;;;;;
2015;4;Toronto Maple Leafs;Mitchell Marner\marnemi01;CA;C;18;2019;London (OHL);169;45;98;143;1;68;;;;;;
2015;5;Carolina Hurricanes;Noah Hanifin\hanifno01;US;D;18;2019;Boston College (H-East);249;18;67;85;-53;73;;;;;;
2015;6;New Jersey Devils;Pavel Zacha\zachapa01;CZ;C;18;2019;Sarnia (OHL);147;16;35;51;-17;56;;;;;;
2015;7;Philadelphia Flyers;Ivan Provorov\provoiv01;RU;D;18;2019;Brandon (WHL);174;23;51;74;4;58;;;;;;
2015;8;Columbus Blue Jackets;Zach Werenski\werenza01;US;D;18;2019;Michigan (Big Ten);164;29;62;91;24;34;;;;;;
2015;9;San Jose Sharks;Timo Meier\meierti01;CH;RW;18;2019;Halifax (QMJHL);124;29;21;50;7;63;;;;;;
2015;10;Colorado Avalanche;Mikko Rantanen\rantami01;FI;RW;18;2019;TPS (Finland);175;53;85;138;-21;68;;;;;;
2015;11;Florida Panthers;Lawson Crouse\crousla01;CA;LW;18;2019;Kingston (OHL);92;8;7;15;-24;71;;;;;;
2015;12;Dallas Stars;Denis Gurianov\guriade01;RU;RW;18;2017;Togliatti 2 (Russia-Jr.);1;0;0;0;-1;0;;;;;;
2015;13;Boston Bruins;Jakub Zboril\zborija01;CZ;D;18;;Saint John (QMJHL);;;;;;;;;;;;
2015;14;Boston Bruins;Jake Debrusk\debruja01;CA;LW;18;2019;Swift Current (WHL);80;19;27;46;14;23;;;;;;
2015;15;Boston Bruins;Zachary Senyshyn\senysza01;CA;RW;18;;Sault Ste. Marie (OHL);;;;;;;;;;;;
2015;16;New York Islanders;Mathew Barzal\barzama01;CA;C;18;2019;Seattle (WHL);92;23;70;93;-8;44;;;;;;
2015;17;Winnipeg Jets;Kyle Connor\connoky01;US;LW;18;2019;Youngstown (USHL);106;37;34;71;4;24;;;;;;
2015;18;Ottawa Senators;Thomas Chabot\chaboth01;CA;D;18;2019;Saint John (QMJHL);72;12;23;35;-12;18;;;;;;
2015;19;Detroit Red Wings;Evgeny Svechnikov\svechev01;RU;LW;18;2018;Cape Breton (QMJHL);16;2;2;4;-2;8;;;;;;
2015;20;Minnesota Wild;Joel Eriksson Ek\eriksjo02;SE;C;18;2019;Farjestad (Sweden);93;9;14;23;3;26;;;;;;
2015;21;Ottawa Senators;Colin White\whiteco02;US;C;18;2019;USA U-18 (USHL);31;4;6;10;1;14;;;;;;
2015;22;Washington Capitals;Ilya Samsonov\samsoil01;RU;G;18;;Magnitogorsk 2 (Russia-Jr.);;;;;;;;;;;;
2015;23;Vancouver Canucks;Brock Boeser\boesebr01;US;RW;18;2019;Waterloo (USHL);80;35;31;66;-9;24;;;;;;
2015;24;Philadelphia Flyers;Travis Konecny\konectr01;CA;C;18;2019;Ottawa (OHL);161;37;43;80;14;101;;;;;;
2015;25;Winnipeg Jets;Jack Roslovic\rosloja01;US;C;18;2019;USA U-18 (USHL);42;5;11;16;5;4;;;;;;
2015;26;Montreal Canadiens;Noah Juulsen\juulsno01;CA;D;18;2019;Everett (WHL);32;1;3;4;10;6;;;;;;
2015;27;Anaheim Ducks;Jacob Larsson\larssja01;SE;D;18;2017;Frolunda Jr. (Sweden-Jr.);4;0;0;0;-1;2;;;;;;
2015;28;New York Islanders;Anthony Beauvillier\beauvan01;CA;LW;18;2019;Shawinigan (QMJHL);144;30;30;60;-2;26;;;;;;
2015;29;Columbus Blue Jackets;Gabriel Carlsson\carlsga01;SE;D;18;2019;Linkoping Jr. (Sweden-Jr.);17;0;3;3;-3;6;;;;;;
2015;30;Arizona Coyotes;Nicholas Merkley\merklni01;CA;RW;18;2018;Kelowna (WHL);1;0;0;0;0;2;;;;;;
2015;31;San Jose Sharks;Jeremy Roy\royje02;CA;D;18;;Sherbrooke (QMJHL);;;;;;;;;;;;
2015;32;Arizona Coyotes;Christian Fischer\fischch01;US;RW;18;2019;USA U-18 (USHL);95;22;18;40;-18;22;;;;;;
2015;33;Tampa Bay Lightning;Mitchell Stephens\stephmi01;CA;C;18;;Saginaw (OHL);;;;;;;;;;;;
2015;34;Toronto Maple Leafs;Travis Dermott\dermotr01;CA;D;18;2019;Erie (OHL);46;1;13;14;11;10;;;;;;
2015;35;Carolina Hurricanes;Sebastian Aho\ahose01;FI;RW;18;2019;Karpat (Finland);169;57;71;128;12;52;;;;;;
2015;36;Ottawa Senators;Gabriel Gagne\gagnega01;CA;RW;18;;Victoriaville (QMJHL);;;;;;;;;;;;
2015;37;Boston Bruins;Brandon Carlo\carlobr01;US;D;18;2019;Tri-City (WHL);168;6;18;24;23;106;;;;;;
2015;38;Columbus Blue Jackets;Paul Bittner\bittnpa01;US;LW;18;;Portland (WHL);;;;;;;;;;;;
2015;39;Colorado Avalanche;A.J. Greer\greeraj01;CA;LW;18;2018;Boston University (H-East);22;0;4;4;0;33;;;;;;
2015;40;Colorado Avalanche;Nicolas Meloche\melocni01;CA;D;18;;Baie Comeau (QMJHL);;;;;;;;;;;;
2015;41;New York Rangers;Ryan Gropp\groppry01;CA;LW;18;;Seattle (WHL);;;;;;;;;;;;
2015;42;New Jersey Devils;MacKenzie Blackwood\blackma01;CA;G;18;;Barrie (OHL);;;;;;;;;;;;
2015;43;Los Angeles Kings;Erik Cernak\cernaer01;SK;D;18;;Kosice (Slovakia);;;;;;;;;;;;
2015;44;Tampa Bay Lightning;Matthew Spencer\spencma01;CA;D;18;;Peterborough (OHL);;;;;;;;;;;;
2015;45;Boston Bruins;Jakob Forsbacka Karlsson\forsbja01;SE;C;18;2017;Omaha (USHL);1;0;0;0;0;0;;;;;;
2015;46;Pittsburgh Penguins;Daniel Sprong\spronda01;NL;RW;18;2019;Charlottetown (QMJHL);33;4;4;8;-2;0;;;;;;
2015;47;Winnipeg Jets;Jansen Harkins\harkija01;US;C;18;;Prince George (WHL);;;;;;;;;;;;
2015;48;Ottawa Senators;Filip Chlapik\chlapfi01;CZ;C;18;2018;Charlottetown (QMJHL);20;1;3;4;-5;4;;;;;;
2015;49;Dallas Stars;Roope Hintz\hintzro01;FI;LW;18;2019;Ilves (Finland);5;0;0;0;0;4;;;;;;
2015;50;Minnesota Wild;Jordan Greenway\greenjo02;US;LW;18;2019;USA U-18 (USHL);15;0;2;2;-4;4;;;;;;
2015;51;Buffalo Sabres;Brendan Guhle\guhlebr01;CA;D;18;2018;Prince Albert (WHL);21;0;5;5;-5;10;;;;;;
2015;52;Boston Bruins;Jeremy Lauzon\lauzoje01;CA;D;18;2019;Rouyn-Noranda (QMJHL);1;0;0;0;0;0;;;;;;
2015;53;Calgary Flames;Rasmus Andersson\anderra01;SE;D;18;2019;Barrie (OHL);19;0;0;0;0;4;;;;;;
2015;54;Chicago Blackhawks;Graham Knott\knottgr01;CA;LW;18;;Niagara (OHL);;;;;;;;;;;;
2015;55;Nashville Predators;Yakov Trenin\treniya01;RU;C;18;;Gatineau (QMJHL);;;;;;;;;;;;
2015;56;St. Louis Blues;Vince Dunn\dunnvi02;CA;D;18;2019;Niagara (OHL);82;8;21;29;-1;24;;;;;;
2015;57;Washington Capitals;Jonas Siegenthaler\siegejo01;CH;D;18;;Zurich (Swiss);;;;;;;;;;;;
2015;58;Columbus Blue Jackets;Kevin Stenlund\stenlke01;SE;C;18;;HV 71 Jr. (Sweden-Jr.);;;;;;;;;;;;
2015;59;Anaheim Ducks;Julius Nattinen\nattiju01;FI;C;18;;JYP 2 (Finland-2);;;;;;;;;;;;
2015;60;Calgary Flames;Oliver Kylington\kylinol01;SE;D;18;2016;Farjestad (Sweden);1;0;0;0;0;0;;;;;;
2015;61;Toronto Maple Leafs;Jeremy Bracco\braccje01;US;RW;18;;USA U-18 (USHL);;;;;;;;;;;;
2015;62;New York Rangers;Robin Kovacs\kovacro01;SE;RW;18;;AIK (Sweden-2);;;;;;;;;;;;
2015;63;Arizona Coyotes;Kyle Capobianco\capobky01;CA;D;18;2018;Sudbury (OHL);1;0;0;0;-1;0;;;;;;
2015;64;Tampa Bay Lightning;Dennis Yan\yande01;US;LW;18;;Shawinigan (QMJHL);;;;;;;;;;;;
2015;65;Toronto Maple Leafs;Andrew Nielsen\nielsan01;CA;D;18;;Lethbridge (WHL);;;;;;;;;;;;
2015;66;Vancouver Canucks;Guillaume Brisebois\brisegu01;CA;D;18;;Acadie-Bathurst (QMJHL);;;;;;;;;;;;
2015;67;New Jersey Devils;Blake Speers\speerbl01;CA;C;18;2017;Sault Ste. Marie (OHL);3;0;0;0;0;0;;;;;;
2015;68;Toronto Maple Leafs;Martins Dzierkals\dzierma01;LV;LW;18;;Riga 2 (Russia-Jr.);;;;;;;;;;;;
2015;69;Columbus Blue Jackets;Keegan Kolesar\koleske01;CA;RW;18;;Seattle (WHL);;;;;;;;;;;;
2015;70;Philadelphia Flyers;Felix Sandstrom\sandsfe01;SE;G;18;;Brynas Jr. (Sweden-Jr.);;;;;;;;;;;;
2015;71;Colorado Avalanche;Jean-Christophe Beaudin\beaudje01;CA;C;18;;Rouyn-Noranda (QMJHL);;;;;;;;;;;;
2015;72;Tampa Bay Lightning;Anthony Cirelli\cirelan01;CA;C;18;2019;Oshawa (OHL);26;7;6;13;9;12;;;;;;
2015;73;Detroit Red Wings;Vili Saarijarvi\saarivi01;FI;D;18;;Green Bay (USHL);;;;;;;;;;;;
2015;74;Los Angeles Kings;Alexander Dergachyov\dergaal01;RU;C;18;;SKA St. Petersburg 2 (Russia-Jr.);;;;;;;;;;;;
2015;75;Boston Bruins;Daniel Vladar\vladada01;CZ;G;18;;Kladno (Czech-2);;;;;;;;;;;;
2015;76;Arizona Coyotes;Adin Hill\hillad01;CA;G;19;2018;Portland (WHL);4;0;0;0;0;0;4;1;3;0;0,891;3,49
2015;77;Florida Panthers;Samuel Montembeault\montesa01;CA;G;18;;Blainville-Boisbriand (QMJHL);;;;;;;;;;;;
2015;78;Winnipeg Jets;Erik Foley\foleyer01;US;LW;18;;Cedar Rapids (USHL);;;;;;;;;;;;
2015;79;New York Rangers;Sergey Zborovskiy\zborose01;RU;D;18;;Regina (WHL);;;;;;;;;;;;
2015;80;Anaheim Ducks;Brent Gates\gatesbr01;US;C;18;;Green Bay (USHL);;;;;;;;;;;;
2015;81;Arizona Coyotes;Brendan Warren\warrebr01;US;LW;18;;USA U-18 (USHL);;;;;;;;;;;;
2015;82;New York Islanders;Mitchell Vande Sompel\vandemi01;CA;D;18;;Oshawa (OHL);;;;;;;;;;;;
2015;83;Arizona Coyotes;Jens Looke\lookeje01;SE;RW;18;;Brynas (Sweden);;;;;;;;;;;;
2015;84;Anaheim Ducks;Deven Sideroff\siderde01;CA;RW;18;;Kamloops (WHL);;;;;;;;;;;;
2015;85;Nashville Predators;Thomas Novak\novakth01;US;C;18;;Waterloo (USHL);;;;;;;;;;;;
2015;86;San Jose Sharks;Mike Robinson\robinmi01;US;G;18;;Lawrence Academy (High-MA);;;;;;;;;;;;
2015;87;Montreal Canadiens;Lukas Vejdemo\vejdelu01;SE;C;19;;Djurgarden Jr. (Sweden-Jr.);;;;;;;;;;;;
2015;88;Florida Panthers;Thomas Schemitsch\schemth01;CA;D;18;;Owen Sound (OHL);;;;;;;;;;;;
2015;89;New York Rangers;Aleksi Saarela\saareal01;FI;C;18;;Assat (Finland);;;;;;;;;;;;
2015;90;Philadelphia Flyers;Matej Tomek\tomekma01;SK;G;18;;Topeka (NAHL);;;;;;;;;;;;
2015;91;Chicago Blackhawks;Dennis Gilbert\gilbede01;US;D;18;;Chicago (USHL);;;;;;;;;;;;
2015;92;Buffalo Sabres;William Borgen\borgewi01;US;D;18;;Moorhead (High-MN);;;;;;;;;;;;
2015;93;Carolina Hurricanes;Callum Booth\boothca01;CA;G;18;;Quebec (QMJHL);;;;;;;;;;;;
2015;94;St. Louis Blues;Adam Musil\musilad01;CA;C;18;;Red Deer (WHL);;;;;;;;;;;;
2015;95;Toronto Maple Leafs;Jesper Lindgren\lindgje01;SE;D;18;;Modo Jr. (Sweden-Jr.);;;;;;;;;;;;
2015;96;Carolina Hurricanes;Nicolas Roy\royni01;CA;C;18;2018;Chicoutimi (QMJHL);1;0;0;0;-1;0;;;;;;
2015;97;New Jersey Devils;Colton White\whiteco03;CA;D;18;;Sault Ste. Marie (OHL);;;;;;;;;;;;
2015;98;Philadelphia Flyers;Samuel Dove-McFalls\dovemsa01;CA;LW;18;;Saint John (QMJHL);;;;;;;;;;;;
2015;99;Los Angeles Kings;Austin Wagner\wagneau01;CA;LW;18;2019;Regina (WHL);6;0;0;0;-5;2;;;;;;
2015;100;Nashville Predators;Anthony Richard\richaan01;CA;C;18;;Val d'Or (QMJHL);;;;;;;;;;;;
2015;101;Colorado Avalanche;Andrei Mironov\mironan01;RU;D;21;2018;Dynamo Moscow (Russia);10;1;2;3;2;12;;;;;;
2015;102;Florida Panthers;Denis Malgin\malgide01;CH;C;18;2019;Zurich (Swiss);105;17;18;35;-1;18;;;;;;
2015;103;Dallas Stars;Chris Martenet\martech01;US;D;18;;London (OHL);;;;;;;;;;;;
2015;104;Philadelphia Flyers;Mikhail Vorobyev\vorobmi01;RU;C;18;2019;Ufa 2 (Russia-Jr.);6;1;1;2;0;2;;;;;;
2015;105;Boston Bruins;Jesse Gabrielle\gabrije01;CA;LW;18;;Regina (WHL);;;;;;;;;;;;
2015;106;San Jose Sharks;Adam Helewka\helewad01;CA;LW;20;;Spokane (WHL);;;;;;;;;;;;
2015;107;Ottawa Senators;Christian Wolanin\wolanch01;CA;D;20;2018;Muskegon (USHL);10;1;2;3;-4;0;;;;;;
2015;108;Winnipeg Jets;Michael Spacek\spacemi01;CZ;RW;18;;Pardubice (Czech);;;;;;;;;;;;
2015;109;Ottawa Senators;Filip Ahl\ahlfi01;SE;LW;18;;HV 71 Jr. (Sweden-Jr.);;;;;;;;;;;;
2015;110;Detroit Red Wings;Joren Van Pottelberghe\vanpojo01;CH;G;18;;Linkoping U18 (Sweden-Jr.);;;;;;;;;;;;
2015;111;Minnesota Wild;Ales Stezka\stezkal01;CZ;G;18;;Liberec Jr. (Czech-Jr.);;;;;;;;;;;;
2015;112;New York Islanders;Parker Wotherspoon\wothepa01;CA;D;18;;Tri-City (WHL);;;;;;;;;;;;
2015;113;New York Rangers;Brad Morrison\morribr03;CA;C;18;;Prince George (WHL);;;;;;;;;;;;
2015;114;Vancouver Canucks;Dmitry Zhukenov\zhukedm01;RU;C;18;;Omsk 2 (Russia-Jr.);;;;;;;;;;;;
2015;115;Nashville Predators;Alexandre Carrier\carrial01;CA;D;18;2017;Gatineau (QMJHL);2;0;0;0;1;0;;;;;;
