Year;Overall;Team;Player;Nat.;Pos;Age;To;Amateur Team;GP;G;A;PTS;+/-;PIM;GP;W;L;T/O;SV%;GAA
2018;48;Ottawa Senators;Jonathan Tychonick\tychojo01;CA;D;18;;Penticton (BCHL);;;;;;;;;;;;
2018;49;Columbus Blue Jackets;Kirill Marchenko\marchki01;RU;RW;18;;Khanty-Mansiysk 2 (Russia-Jr.);;;;;;;;;;;;
2018;50;Philadelphia Flyers;Adam Ginning\ginniad01;SE;D;18;;Linkoping (Sweden);;;;;;;;;;;;
2018;51;Los Angeles Kings;Akil Thomas\thomaak01;CA;C;18;;Niagara (OHL);;;;;;;;;;;;
2018;52;Toronto Maple Leafs;Sean Durzi\durzise01;CA;D;19;;Owen Sound Attack (OHL);;;;;;;;;;;;
2018;53;Pittsburgh Penguins;Calen Addison\addisca01;CA;D;18;;Lethbridge Hurricanes (WHL);;;;;;;;;;;;
2018;54;Anaheim Ducks;Benoit-Olivier Groulx\groulbe01;CA;C;18;;Halifax Mooseheads (QMJHL);;;;;;;;;;;;
2018;55;Arizona Coyotes;Kevin Bahl\bahlke01;CA;D;18;;Ottawa 67's (OHL);;;;;;;;;;;;
2018;56;Montreal Canadiens;Jacob Olofsson\olofsja01;SE;C;18;;Timra (Sweden-2);;;;;;;;;;;;
2018;57;Boston Bruins;Axel Andersson\anderax01;SE;D;18;;Djurgarden Jr. (Sweden-Jr.);;;;;;;;;;;;
2018;58;Pittsburgh Penguins;Filip Hallander\hallafi01;SE;C;18;;Timra (Sweden-2);;;;;;;;;;;;
2018;59;Tampa Bay Lightning;Gabriel Fortier\fortiga01;CA;LW;18;;Baie-Comeau Drakkar (QMJHL);;;;;;;;;;;;
2018;60;Winnipeg Jets;David Gustafsson\gustada01;SE;C;18;;HV 71 (Sweden);;;;;;;;;;;;
2018;61;Vegas Golden Knights;Ivan Morozov\moroziv01;RU;C;18;;Khanty-Mansiysk 2 (Russia-Jr.);;;;;;;;;;;;
2018;62;Edmonton Oilers;Olivier Rodrigue\rodriol01;CA;G;18;;Drummondville Voltigeurs (QMJHL);;;;;;;;;;;;
2018;63;Minnesota Wild;Jack McBain\mcbaija03;CA;C;18;;Toronto JC (OJHL);;;;;;;;;;;;
2018;64;Colorado Avalanche;Justus Annunen\annunju01;FI;G;18;;Karpat Jr. (Finland-Jr.);;;;;;;;;;;;
2018;65;Arizona Coyotes;Jan Jenik\jenikja01;CZ;RW;18;;Benatky N.J. (Czech-2);;;;;;;;;;;;
2018;66;Montreal Canadiens;Cameron Hillis\hillica01;CA;C;18;;Guelph Storm (OHL);;;;;;;;;;;;
2018;67;Detroit Red Wings;Alec Regula\regulal01;US;D;18;;London Knights (OHL);;;;;;;;;;;;
2018;68;Vancouver Canucks;Tyler Madden\maddety01;US;C;18;;Tri-City (USHL);;;;;;;;;;;;
2018;69;Chicago Blackhawks;Jake Wise\wiseja01;US;C;18;;USA U-18 (U.S. NTDP);;;;;;;;;;;;
2018;70;New York Rangers;Jacob Ragnarsson\ragnaja01;US;D;18;;Almtuna (Sweden-2);;;;;;;;;;;;
2018;71;Montreal Canadiens;Jordan Harris\harrijo01;US;D;18;;Kimball Union (High-NH);;;;;;;;;;;;
2018;72;New York Islanders;Jakub Skarek\skareja01;CZ;G;18;;Jihlava (Czech);;;;;;;;;;;;
2018;73;Arizona Coyotes;Ty Emberson\emberty01;US;D;18;;USA U-18 (U.S. NTDP);;;;;;;;;;;;
2018;74;Chicago Blackhawks;Niklas Nordgren\nordgni02;FI;RW;18;;Hifk Jr. (Finland-Jr.);;;;;;;;;;;;
2018;75;Dallas Stars;Oskar Back\backos01;SE;C;18;;Farjestad Jr. (Sweden-Jr.);;;;;;;;;;;;
